TrialIndex,TargetRule,Choice,Location,Reward,RuleChangeTrials,NewSessionTrials,CuePosition
1,West,right,East,no,1,1,NaN
2,West,left,West,yes,0,0,NaN
3,West,left,East,no,0,0,NaN
4,West,right,West,yes,0,0,NaN
5,West,left,West,yes,0,0,NaN
6,West,left,East,no,0,0,NaN
7,West,left,West,yes,0,0,NaN
8,West,right,East,no,0,0,NaN
9,West,right,West,yes,0,0,NaN
10,West,left,West,yes,0,0,NaN
11,West,right,West,yes,0,0,NaN
12,West,left,East,no,0,0,NaN
13,West,right,West,yes,0,0,NaN
14,West,left,West,yes,0,0,NaN
15,West,left,West,yes,0,0,NaN
16,West,left,West,yes,0,0,NaN
17,West,right,West,yes,0,0,NaN
18,West,left,West,yes,0,0,NaN
19,Alternate,right,West,no,1,0,NaN
20,Alternate,right,West,no,0,0,NaN
21,Alternate,left,East,yes,0,0,NaN
22,Alternate,right,West,yes,0,0,NaN
23,Alternate,left,West,no,0,0,NaN
24,Alternate,right,West,no,0,0,NaN
25,Alternate,right,East,yes,0,0,NaN
26,Alternate,left,West,yes,0,0,NaN
27,Alternate,left,West,no,0,0,NaN
28,Alternate,right,East,yes,0,0,NaN
29,Alternate,left,West,yes,0,0,NaN
30,Alternate,right,East,yes,0,0,NaN
31,Alternate,right,West,yes,0,0,NaN
32,Alternate,right,West,no,0,0,NaN
33,Alternate,left,East,yes,0,0,NaN
34,Alternate,left,West,yes,0,0,NaN
35,Alternate,right,West,no,0,0,NaN
36,Alternate,left,East,yes,0,0,NaN
37,Alternate,left,West,yes,0,0,NaN
38,Alternate,right,East,yes,0,0,NaN
39,Alternate,left,West,yes,0,0,NaN
40,East,right,West,no,1,0,NaN
41,East,right,West,no,0,0,NaN
42,East,left,East,yes,0,0,NaN
43,East,left,West,no,0,0,NaN
44,East,right,East,yes,0,0,NaN
45,East,right,West,no,0,0,NaN
46,East,left,East,yes,0,0,NaN
47,East,right,East,yes,0,0,NaN
48,East,left,East,yes,0,0,NaN
49,East,right,West,no,0,0,NaN
50,East,right,East,yes,0,0,NaN
51,East,left,West,no,0,0,NaN
52,East,left,West,no,0,0,NaN
53,East,right,East,yes,0,0,NaN
54,East,left,West,no,0,0,NaN
55,East,left,East,yes,0,0,NaN
56,East,right,East,yes,0,0,NaN
57,East,left,East,yes,0,0,NaN
58,East,left,West,no,0,0,NaN
59,East,left,East,yes,0,0,NaN
60,East,left,West,no,0,0,NaN
61,East,right,East,yes,0,0,NaN
62,East,left,West,no,0,0,NaN
63,East,left,East,yes,0,0,NaN
64,East,left,West,no,0,0,NaN
65,East,left,East,yes,0,0,NaN
66,East,left,East,yes,0,0,NaN
67,East,left,East,yes,0,0,NaN
68,East,left,West,no,0,0,NaN
69,East,left,East,yes,0,0,NaN
70,East,left,East,yes,0,0,NaN
71,East,right,East,yes,0,0,NaN
72,East,right,East,yes,0,0,NaN
73,East,left,East,yes,0,0,NaN
74,East,right,East,yes,0,0,NaN
75,East,left,East,yes,0,0,NaN
76,Alternate,right,West,yes,1,0,NaN
77,Alternate,right,East,yes,0,0,NaN
78,Alternate,right,East,no,0,0,NaN
79,Alternate,left,East,no,0,0,NaN
80,Alternate,left,East,no,0,0,NaN
81,Alternate,left,West,yes,0,0,NaN
82,Alternate,left,East,yes,0,0,NaN
83,Alternate,right,East,no,0,0,NaN
84,Alternate,left,West,yes,0,0,NaN
85,Alternate,left,East,yes,0,0,NaN
86,Alternate,left,West,yes,0,0,NaN
87,Alternate,left,East,yes,0,0,NaN
88,Alternate,left,East,no,0,0,NaN
89,Alternate,right,West,yes,0,0,NaN
90,Alternate,left,East,yes,0,0,NaN
91,Alternate,left,West,yes,0,0,NaN
92,Alternate,left,East,yes,0,0,NaN
93,Alternate,left,East,no,0,0,NaN
94,Alternate,left,West,yes,0,0,NaN
95,Alternate,right,East,yes,0,0,NaN
